TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE,CREATED,LAST_ALTERED
AS_SANDBOX,AUTOSHIP_SHADOW_VETDIETS_0528,BASE TABLE,2021-10-21 19:19:02.737000+00:00,2025-11-28 08:31:51.243000+00:00
AS_SANDBOX,AUTOSHIP_SHADOW_VETDIETS_AGG_0528,BASE TABLE,2021-10-21 19:18:59.724000+00:00,2025-11-28 08:49:58.454000+00:00
AS_SANDBOX,NON_SHADOWCUSTOMERS_VETDIETS_0528,BASE TABLE,2021-10-21 19:20:14.319000+00:00,2025-11-28 08:31:57.215000+00:00
AS_SANDBOX,NON_SHADOW_VETDIETS_0528_AGG,BASE TABLE,2021-10-21 19:20:20.463000+00:00,2025-11-28 08:58:00.502000+00:00
BT_CUSTOMER_CARE,FCT_AGENT_SCHEDULED_VS_ACTUAL_ACTIVITIES,BASE TABLE,2026-06-19 12:07:41.594000+00:00,2026-06-19 12:07:42.827000+00:00
BT_CUSTOMER_CARE,RAW_NICE_NDE_AGENT_SCHEDULED_ACTIVITIES_FUTURE_SNAPSHOT,BASE TABLE,2026-06-17 01:55:11.432000+00:00,2026-06-17 15:02:17.921000+00:00
BT_CUSTOMER_CARE,RAW_NICE_NDE_AGENT_SCHEDULED_ACTIVITIES_NRT,BASE TABLE,2026-06-17 01:55:40.358000+00:00,2026-06-19 20:31:53.693000+00:00
BT_CUSTOMER_CARE,RAW_NICE_NDE_AGENT_SCHEDULED_BASE_ACTIVITY_FUTURE_SNAPSHOT,BASE TABLE,2026-06-17 14:08:50.563000+00:00,2026-06-17 15:03:19.489000+00:00
BT_CUSTOMER_CARE,RAW_NICE_NDE_AGENT_SCHEDULED_BASE_NRT,BASE TABLE,2026-06-17 01:58:14.670000+00:00,2026-06-19 20:32:55.058000+00:00
BT_HCA_HCDM,ORDER_LINE_PET_VET_CLINIC_XREF,VIEW,2026-06-19 11:33:28.038000+00:00,2026-06-19 11:33:28.384000+00:00
BT_HCA_HCDM,VET_PROFILES,VIEW,2026-06-19 06:05:25.813000+00:00,2026-06-19 06:05:27.294000+00:00
BT_MRCH_OPS,DEFECTS_ASSIGNMENT_ROSTER,BASE TABLE,2025-11-20 23:11:33.442000+00:00,2026-04-15 14:10:49.192000+00:00
BT_MRCH_OPS,DEFECTS_EMAIL_ROSTER,BASE TABLE,2026-04-15 14:18:06.169000+00:00,2026-06-19 14:30:54.355000+00:00
CHEWYBI,ACCRUAL_BALANCE_TIME_OFF,VIEW,2026-02-03 01:14:25.459000+00:00,2026-02-03 01:14:25.767000+00:00
CHEWYBI,ACCRUAL_BALANCE_TIME_OFF_D,BASE TABLE,2024-05-06 16:45:10.840000+00:00,2025-10-09 08:18:01.269000+00:00
CHEWYBI,CHEWYDATA_ROSTER_DAY_END,VIEW,2025-03-24 16:26:36.427000+00:00,2025-03-24 16:26:38.239000+00:00
CHEWYBI,CHEWYDATA_ROSTER_PERIOD_END,VIEW,2025-03-24 16:26:31.677000+00:00,2025-03-24 16:26:33.868000+00:00
CHEWYBI,CHEWYDATA_ROSTER_WEEK_END,VIEW,2025-03-24 16:26:33.925000+00:00,2025-03-24 16:26:36.355000+00:00
CHEWYBI,CRM_VET_HEALTH_SURVEY_RESULT,VIEW,2023-10-30 20:46:05.228000+00:00,2023-10-30 20:46:05.343000+00:00
CHEWYBI,CRM_VET_INTERVIEW_STARK,VIEW,2023-10-30 20:46:05.858000+00:00,2023-10-30 20:46:05.984000+00:00
CHEWYBI,EMPLOYEE_ATTENDANCE,VIEW,2026-02-03 01:15:22.869000+00:00,2026-02-03 01:15:23.218000+00:00
CHEWYBI,EMPLOYEE_ATTENDANCE_F,BASE TABLE,2024-02-01 19:46:49.931000+00:00,2026-05-04 13:59:40.164000+00:00
CHEWYBI,LABOR_SCHEDULES,VIEW,2026-02-03 01:15:46.634000+00:00,2026-02-03 01:15:46.897000+00:00
CHEWYBI,LABOR_SCHEDULE_D,BASE TABLE,2023-05-22 16:46:25.410000+00:00,2026-05-12 18:09:52.382000+00:00
CHEWYBI,LABOR_SCHEDULE_PROFILES,VIEW,2026-02-03 01:15:32.609000+00:00,2026-02-03 01:15:32.853000+00:00
CHEWYBI,LABOR_SCHEDULE_PROFILE_D,BASE TABLE,2023-05-22 16:46:25.240000+00:00,2026-05-12 18:09:50.285000+00:00
CHEWYBI,MARKET_MEDIUM_GL_ACCRUAL,VIEW,2026-02-03 01:14:07.802000+00:00,2026-02-03 01:14:08.224000+00:00
CHEWYBI,NICE_AGENT_SCHEDULE_DETAIL_SNAPSHOT,VIEW,2023-05-03 17:46:53.879000+00:00,2023-05-03 17:46:54.047000+00:00
CHEWYBI,NICE_AGENT_SCHEDULE_DETAIL_SNAPSHOT_PS,BASE TABLE,2023-05-03 17:46:49.735000+00:00,2025-11-28 09:09:03.753000+00:00
CHEWYBI,NICE_AGENT_SCHEDULE_SUMMARY_SNAPSHOT,VIEW,2023-05-03 17:46:52.955000+00:00,2023-05-03 17:46:53.109000+00:00
CHEWYBI,NICE_AGENT_SCHEDULE_SUMMARY_SNAPSHOT_PS,BASE TABLE,2023-05-03 17:46:49.022000+00:00,2025-11-28 09:15:57.563000+00:00
CHEWYBI,SCHEDULED_PO_QTY_SNAPSHOT,VIEW,2026-01-30 23:49:22.129000+00:00,2026-01-30 23:49:22.443000+00:00
CHEWYBI,SCHEDULED_PO_QTY_SNAPSHOT_PS,BASE TABLE,2024-02-26 19:23:04.239000+00:00,2026-05-11 02:37:12.843000+00:00
CHEWYBI,SWITCHER_DRIVER_ROSTER_KRONOS,VIEW,2026-01-30 23:49:22.487000+00:00,2026-01-30 23:49:22.752000+00:00
CHEWYBI,SWTICHER_DRIVER_ROSTER_KRONOS_PS,BASE TABLE,2023-05-22 16:46:24.106000+00:00,2026-05-04 13:08:59.166000+00:00
CHEWYBI,TIME_ENTRY_ADMIN_MAPPING,VIEW,2026-01-30 23:49:23.129000+00:00,2026-01-30 23:49:23.433000+00:00
CHEWYBI,TIME_ENTRY_ADMIN_MAPPING_PS,BASE TABLE,2024-03-18 18:14:40.780000+00:00,2025-11-28 10:07:02.290000+00:00
CHEWYBI,TIME_ENTRY_LUNCH_HOURS_KRONOS,VIEW,2026-01-30 23:49:23.465000+00:00,2026-05-28 01:48:54.344000+00:00
CHEWYBI,TIME_ENTRY_SHIFT_MAPPING,VIEW,2026-01-30 23:49:23.759000+00:00,2026-01-30 23:49:24.018000+00:00
CHEWYBI,TIME_ENTRY_SHIFT_MAPPING_PS,BASE TABLE,2024-03-18 18:14:40.912000+00:00,2025-11-28 11:09:09.176000+00:00
CHEWYBI,TIME_ENTRY_SUMMARY_HOURS_PS,BASE TABLE,2024-02-05 18:52:55.563000+00:00,2026-03-12 03:04:46.942000+00:00
CHEWYBI,TIME_ENTRY_TIMESHEET_APPROVAL,VIEW,2026-01-30 23:49:24.063000+00:00,2026-01-30 23:49:24.390000+00:00
CHEWYBI,TIME_ENTRY_TIMESHEET_APPROVAL_PS,BASE TABLE,2024-02-05 18:52:55.094000+00:00,2026-03-12 03:10:55.335000+00:00
CHEWYBI,TIME_ENTRY_TIMESHEET_SUMMARY,VIEW,2026-01-30 23:49:24.422000+00:00,2026-01-30 23:49:24.699000+00:00
CHEWYBI,VET_COST,VIEW,2025-03-05 17:58:50.302000+00:00,2025-03-05 17:58:50.718000+00:00
CHEWYBI,VET_PROFILES,VIEW,2026-05-29 20:22:34.068000+00:00,2026-05-29 20:22:34.469000+00:00
CHEWYBI,VET_PROFILE_PS,BASE TABLE,2023-05-22 16:46:22.591000+00:00,2026-05-13 00:11:15.900000+00:00
CHEWY_CERTIFIED,DIM_CUSTODS_CA_VET,BASE TABLE,2026-05-21 20:56:24.633000+00:00,2026-06-19 20:49:25.059000+00:00
CHEWY_CERTIFIED,DIM_CUSTODS_CA_VET_LICENSE,BASE TABLE,2026-05-21 20:56:23.401000+00:00,2026-06-19 20:49:25.525000+00:00
CHEWY_CERTIFIED,DIM_CUSTODS_VET,BASE TABLE,2026-05-21 21:14:46.158000+00:00,2026-06-19 20:50:35.934000+00:00
