TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION
S_ANALYTICS,BRASS_TACKS_TABLEAU,EMPLOYEE_ID,TEXT,10
S_ANALYTICS,BRASS_TACKS_TABLEAU,MANAGER_EMPLOYEE_ID,TEXT,15
S_ANALYTICS,BRASS_TACKS_TABLEAU,MANAGER,TEXT,16
S_ANALYTICS,BRASS_TACKS_TABLEAU,EMPLOYEE_UNION,TEXT,17
S_ANALYTICS,BRASS_TACKS_TABLEAU,LOCATION,TEXT,19
S_ANALYTICS,BRASS_TACKS_TABLEAU,INDIVIDUAL_CONTRIBUTOR_MANAGER,TEXT,27
S_ANALYTICS,BRASS_TACKS_TABLEAU,EMPLOYEE_TYPE,TEXT,38
S_ANALYTICS,BRASS_TACKS_TABLEAU,MANAGER_ID_LEVEL_01,TEXT,41
S_ANALYTICS,BRASS_TACKS_TABLEAU,MANAGER_LEVEL_01,TEXT,42
S_ANALYTICS,BRASS_TACKS_TABLEAU,MANAGER_ID_LEVEL_02,TEXT,43
S_ANALYTICS,BRASS_TACKS_TABLEAU,MANAGER_LEVEL_02,TEXT,44
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,EMPLOYEE_ID,TEXT,10
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_EMPLOYEE_ID,NUMBER,15
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER,TEXT,16
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,EMPLOYEE_UNION,TEXT,17
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,LOCATION,TEXT,19
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,INDIVIDUAL_CONTRIBUTOR_MANAGER,TEXT,27
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,EMPLOYEE_TYPE,TEXT,38
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_ID_LEVEL_01,TEXT,41
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_LEVEL_01,TEXT,42
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_ID_LEVEL_02,TEXT,43
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_LEVEL_02,TEXT,44
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_ID_LEVEL_03,TEXT,45
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_LEVEL_03,TEXT,46
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_ID_LEVEL_04,TEXT,47
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_LEVEL_04,TEXT,48
S_ANALYTICS,EMPLOYEE_BADGING,EMPLOYEEID,TEXT,1
S_ANALYTICS,EMPLOYEE_BADGING,EMPLOYEENAME,TEXT,2
S_ANALYTICS,EMPLOYEE_BADGING,SITE,TEXT,3
S_ANALYTICS,EMPLOYEE_BADGING,BADGE_SCANNER_LOCATION,TEXT,4
S_ANALYTICS,EMPLOYEE_TIMEZONE,EMPLOYEE_ID,NUMBER,1
S_ANALYTICS,EMPLOYEE_TIMEZONE,USER_NAME,TEXT,2
