TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,OFFER_ID,TEXT,1
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,OFFER_UPDATED_AT,DATE,2
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,REQUISITION_ID,TEXT,3
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,JOB_UPDATED_AT,DATE,4
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,JCF_UPDATED_AT,DATE,5
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,OCF_UPDATED_AT,DATE,6
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,ENTITY,TEXT,7
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,RECORD_START_DATE,DATE,8
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,RECORD_END_DATE,DATE,9
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,EMPLOYEE_ID,TEXT,10
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,CANDIDATE,TEXT,11
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,CANDIDATE_UPDATED_AT,DATE,12
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,DEPARTMENT,TEXT,13
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,C_SUITE_DEPARTMENT,TEXT,14
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_EMPLOYEE_ID,NUMBER,15
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER,TEXT,16
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,EMPLOYEE_UNION,TEXT,17
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,C_LEVEL,TEXT,18
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,LOCATION,TEXT,19
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,JO_UPDATED_AT,DATE,20
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,JOB,TEXT,21
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,BUSINESS_FUNCTION,TEXT,22
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,START_DATE,DATE,23
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,TERMINATION_DATE,DATE,24
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,RESOLVED_AT,DATE,25
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,OPENING_TYPE,TEXT,26
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,INDIVIDUAL_CONTRIBUTOR_MANAGER,TEXT,27
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,EXEMPT_STATUS,TEXT,28
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,START_YEAR,NUMBER,29
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,START_PERIOD,TEXT,30
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,OPENING_ID,TEXT,31
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,OPEN_UPDATED_AT,DATE,32
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,OPEN_DATE,DATE,33
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,CLOSED_DATE,DATE,34
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,OPENING_OPEN_DATE,DATE,35
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,OPENING_CLOSED_DATE,DATE,36
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,ESTIMATED_START_DATE,DATE,37
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,EMPLOYEE_TYPE,TEXT,38
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,WORKDAY_BUSINESS_UNIT,TEXT,39
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,WORKDAY_COST_CENTER,TEXT,40
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_ID_LEVEL_01,TEXT,41
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_LEVEL_01,TEXT,42
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_ID_LEVEL_02,TEXT,43
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_LEVEL_02,TEXT,44
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_ID_LEVEL_03,TEXT,45
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_LEVEL_03,TEXT,46
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_ID_LEVEL_04,TEXT,47
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,MANAGER_LEVEL_04,TEXT,48
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,OTHER_HEADCOUNT_GROUP,TEXT,49
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,COMPANY_CODE,TEXT,50
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,STAFFING_MODEL,TEXT,51
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,NUM_OPENINGS,NUMBER,52
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,NUM_FILLED,NUMBER,53
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,ESTIMATED_START_YEAR,NUMBER,54
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,ESTIMATED_START_PERIOD,TEXT,55
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,YEAR_END_TARGET,NUMBER,56
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,YEAR_END_BUDGET,NUMBER,57
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,APPROVED_HC,NUMBER,58
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,SOURCE,TEXT,59
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,ATS_SOURCE,TEXT,60
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,ROW_UPDATED_AT,DATE,61
S_ANALYTICS,ROSTER_DAY_END,WORKDAY_ID,TEXT,1
S_ANALYTICS,ROSTER_DAY_END,EMPLOYEE_ID,NUMBER,2
S_ANALYTICS,ROSTER_DAY_END,REQUISITION_ID,TEXT,3
S_ANALYTICS,ROSTER_DAY_END,JOB_LEVEL,TEXT,4
S_ANALYTICS,ROSTER_DAY_END,EXEMPT_STATUS,TEXT,5
S_ANALYTICS,ROSTER_DAY_END,EMPLOYEE_USERNAME,TEXT,6
S_ANALYTICS,ROSTER_DAY_END,EMPLOYEE_NAME,TEXT,7
S_ANALYTICS,ROSTER_DAY_END,EMPLOYEE_TYPE,TEXT,8
S_ANALYTICS,ROSTER_DAY_END,IS_MANAGER,TEXT,9
S_ANALYTICS,ROSTER_DAY_END,WORKER_TYPE,TEXT,10
S_ANALYTICS,ROSTER_DAY_END,BUSINESS_TITLE,TEXT,11
S_ANALYTICS,ROSTER_DAY_END,HIRE_DATE,DATE,12
S_ANALYTICS,ROSTER_DAY_END,TERMINATION_DATE,DATE,13
S_ANALYTICS,ROSTER_DAY_END,VOLUNTARYTERM,TEXT,14
S_ANALYTICS,ROSTER_DAY_END,ACTIVE_STATUS,TEXT,15
S_ANALYTICS,ROSTER_DAY_END,COMPANY_CODE,TEXT,16
S_ANALYTICS,ROSTER_DAY_END,DIRECT_REPORT_COUNT,NUMBER,17
S_ANALYTICS,ROSTER_DAY_END,REMOTE,TEXT,18
S_ANALYTICS,ROSTER_DAY_END,ENTITY,TEXT,19
S_ANALYTICS,ROSTER_DAY_END,LINE_OF_BUSINESS,TEXT,20
S_ANALYTICS,ROSTER_DAY_END,LOCATION,TEXT,21
S_ANALYTICS,ROSTER_DAY_END,COST_CENTER,TEXT,22
S_ANALYTICS,ROSTER_DAY_END,WORKDAY_BUSINESS_UNIT,TEXT,23
S_ANALYTICS,ROSTER_DAY_END,JOB_FAMILY,TEXT,24
S_ANALYTICS,ROSTER_DAY_END,JOB_FAMILY_GROUP,TEXT,25
S_ANALYTICS,ROSTER_DAY_END,C_LEVEL,TEXT,26
S_ANALYTICS,ROSTER_DAY_END,MANAGEMENT_LEVEL,TEXT,27
S_ANALYTICS,ROSTER_DAY_END,ORACLE_DEPARTMENT,TEXT,28
S_ANALYTICS,ROSTER_DAY_END,REGION,TEXT,29
S_ANALYTICS,ROSTER_DAY_END,JOB_PROFILE,TEXT,30
S_ANALYTICS,ROSTER_DAY_END,JOB_PROFILE_ID,TEXT,31
S_ANALYTICS,ROSTER_DAY_END,FINANCE_BUSINESS_UNIT,TEXT,32
S_ANALYTICS,ROSTER_DAY_END,DEPARTMENT_FULLNAME,TEXT,33
S_ANALYTICS,ROSTER_DAY_END,DEPARTMENT_CODE,TEXT,34
S_ANALYTICS,ROSTER_DAY_END,COMPANY_NAME,TEXT,35
S_ANALYTICS,ROSTER_DAY_END,C_SUITE_DEPARTMENT,TEXT,36
S_ANALYTICS,ROSTER_DAY_END,SENIOR_LEADERSHIP_TEAM,TEXT,37
S_ANALYTICS,ROSTER_DAY_END,BUDGET_OWNER,TEXT,38
S_ANALYTICS,ROSTER_DAY_END,BUSINESS_FUNCTION,TEXT,39
S_ANALYTICS,ROSTER_DAY_END,PREFERRED_NAME,TEXT,40
S_ANALYTICS,ROSTER_DAY_END,COST_CENTER_DESCRIPTION,TEXT,41
S_ANALYTICS,ROSTER_DAY_END,COST_CENTER_CODE,TEXT,42
S_ANALYTICS,ROSTER_DAY_END,LEGACY_COST_CENTER_NAME,TEXT,43
S_ANALYTICS,ROSTER_DAY_END,EMPLOYEE_FULL_TIME_STATUS,TEXT,44
S_ANALYTICS,ROSTER_DAY_END,LOCATION_CODE,TEXT,45
S_ANALYTICS,ROSTER_DAY_END,EMPLOYEE_EXEMPT_STATUS,TEXT,46
S_ANALYTICS,ROSTER_DAY_END,LOA_FLAG,BOOLEAN,47
S_ANALYTICS,ROSTER_DAY_END,FWA_FLAG,BOOLEAN,48
S_ANALYTICS,ROSTER_DAY_END,FWA_SUBTYPE,TEXT,49
S_ANALYTICS,ROSTER_DAY_END,FWA_DAYS,NUMBER,50
S_ANALYTICS,ROSTER_DAY_END,REPORTING_DAY,DATE,51
S_ANALYTICS,ROSTER_DAY_END,LAST_DAY_OF_FINANCIAL_CALENDAR_REPORTING_WEEK,DATE,52
S_ANALYTICS,ROSTER_DAY_END,REPORTING_YEAR_WEEK,TEXT,53
S_ANALYTICS,ROSTER_DAY_END,LAST_DAY_OF_FINANCIAL_CALENDAR_REPORTING_PERIOD,DATE,54
S_ANALYTICS,ROSTER_DAY_END,REPORTING_YEAR_PERIOD,TEXT,55
S_ANALYTICS,ROSTER_DAY_END,TENURE_IN_DAYS,NUMBER,56
S_ANALYTICS,ROSTER_DAY_END,TENURE_IN_MONTHS,NUMBER,57
S_ANALYTICS,ROSTER_DAY_END,TENURE_IN_YEARS,NUMBER,58
S_ANALYTICS,ROSTER_DAY_END,TENURE_DISPLAY,TEXT,59
S_ANALYTICS,ROSTER_PERIOD_END,WORKDAY_ID,TEXT,1
S_ANALYTICS,ROSTER_PERIOD_END,EMPLOYEE_ID,NUMBER,2
S_ANALYTICS,ROSTER_PERIOD_END,REQUISITION_ID,TEXT,3
S_ANALYTICS,ROSTER_PERIOD_END,JOB_LEVEL,TEXT,4
S_ANALYTICS,ROSTER_PERIOD_END,EXEMPT_STATUS,TEXT,5
S_ANALYTICS,ROSTER_PERIOD_END,EMPLOYEE_USERNAME,TEXT,6
S_ANALYTICS,ROSTER_PERIOD_END,EMPLOYEE_NAME,TEXT,7
S_ANALYTICS,ROSTER_PERIOD_END,EMPLOYEE_TYPE,TEXT,8
S_ANALYTICS,ROSTER_PERIOD_END,IS_MANAGER,TEXT,9
S_ANALYTICS,ROSTER_PERIOD_END,WORKER_TYPE,TEXT,10
S_ANALYTICS,ROSTER_PERIOD_END,BUSINESS_TITLE,TEXT,11
