TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION
UKG,BRONZE_CDC_INGESTION_RAW,LOAD_DATE_TIME,TIMESTAMP_NTZ,5
UKG,BRONZE_INGESTION_RAW,LOAD_DATE_TIME,TIMESTAMP_NTZ,5
UKG,CHEWYDATA_CURRENT_EMPLOYEES,EMPLOYEE_ID,NUMBER,2
UKG,CHEWYDATA_CURRENT_EMPLOYEES,CURRENT_EMPLOYEE_FLAG,TEXT,7
UKG,CHEWYDATA_CURRENT_EMPLOYEES,EMPLOYEE_USERNAME,TEXT,10
UKG,CHEWYDATA_CURRENT_EMPLOYEES,EMPLOYEE_NAME,TEXT,13
UKG,CHEWYDATA_CURRENT_EMPLOYEES,EMPLOYEE_TYPE,TEXT,14
UKG,CHEWYDATA_CURRENT_EMPLOYEES,WORKER_TYPE,TEXT,16
UKG,CHEWYDATA_CURRENT_EMPLOYEES,TIME_IN_JOB_PROFILE,TEXT,27
UKG,CHEWYDATA_CURRENT_EMPLOYEES,TIME_IN_POSITION,TEXT,28
UKG,CHEWYDATA_CURRENT_EMPLOYEES,LOCATION,TEXT,31
UKG,CHEWYDATA_CURRENT_EMPLOYEES,REGION,TEXT,39
UKG,CHEWYDATA_CURRENT_EMPLOYEES,EMPLOYEE_FULL_TIME_STATUS,TEXT,54
UKG,CHEWYDATA_CURRENT_EMPLOYEES,LOCATION_CODE,TEXT,55
UKG,CHEWYDATA_CURRENT_EMPLOYEES,EMPLOYEE_EXEMPT_STATUS,TEXT,56
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,EMPLOYEE_ID,NUMBER,1
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,EMPLOYEE_USERNAME,TEXT,2
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,EMPLOYEE_NAME,TEXT,3
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,MANAGER_EMPLOYEE_ID,NUMBER,4
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,MANAGER_USERNAME,TEXT,5
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,SENIOR_LEADERSHIP_TEAM_USERNAME,TEXT,18
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,MANAGER_HIERARCHY_USERNAME,ARRAY,21
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,MANAGER_USERNAME_LEVEL_00,TEXT,24
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,MANAGER_USERNAME_LEVEL_01,TEXT,27
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,MANAGER_USERNAME_LEVEL_02,TEXT,30
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,MANAGER_USERNAME_LEVEL_03,TEXT,33
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,MANAGER_USERNAME_LEVEL_04,TEXT,36
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,MANAGER_USERNAME_LEVEL_05,TEXT,39
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,MANAGER_USERNAME_LEVEL_06,TEXT,42
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,MANAGER_USERNAME_LEVEL_07,TEXT,45
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,MANAGER_USERNAME_LEVEL_08,TEXT,48
UKG,CHEWYDATA_MANAGER_HIERARCHY_DAY_END,MANAGER_USERNAME_LEVEL_09,TEXT,51
